sentence_number,sentence,word,surprisal_score,target_phrase
1,Everyone is worried that the politician will spill the beans about the fundraiser., is,2.083772,context
1,Everyone is worried that the politician will spill the beans about the fundraiser., worried,6.359188,context
1,Everyone is worried that the politician will spill the beans about the fundraiser., that,2.0151386,context
1,Everyone is worried that the politician will spill the beans about the fundraiser., the,1.521882,context
1,Everyone is worried that the politician will spill the beans about the fundraiser., politician,11.377796,context
1,Everyone is worried that the politician will spill the beans about the fundraiser., will,1.4000621,preverb
1,Everyone is worried that the politician will spill the beans about the fundraiser., spill,7.4148097,verb
1,Everyone is worried that the politician will spill the beans about the fundraiser., the,0.28928986,context
1,Everyone is worried that the politician will spill the beans about the fundraiser., beans,0.026810275,noun
1,Everyone is worried that the politician will spill the beans about the fundraiser., about,2.7050762,context
1,Everyone is worried that the politician will spill the beans about the fundraiser., the,1.0918303,context
1,Everyone is worried that the politician will spill the beans about the fundraiser., fundraiser,6.7445273,context
1,Everyone is worried that the politician will spill the beans about the fundraiser.,.,1.313234,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.",In,6.5052223,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", a,2.911958,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", fit,6.999636,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", of,0.07128652,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", rage,3.004131,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.",",",0.68855846,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", the,2.4665954,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", toddler,7.740832,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", decided,6.1376624,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", to,0.07089596,preverb
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", spill,7.810058,verb
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", the,1.6751637,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", juice,4.02854,noun
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", all,1.339285,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", over,0.007926047,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", the,0.26842183,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.", floor,0.6826502,context
2,"In a fit of rage, the toddler decided to spill the juice all over the floor.",.,2.7937539,context
3,The farmer woke up early to plant the beans in the bean-field., farmer,11.164253,context
3,The farmer woke up early to plant the beans in the bean-field., woke,8.413881,context
3,The farmer woke up early to plant the beans in the bean-field., up,0.18612012,context
3,The farmer woke up early to plant the beans in the bean-field., early,1.4440268,context
3,The farmer woke up early to plant the beans in the bean-field., to,3.0975032,preverb
3,The farmer woke up early to plant the beans in the bean-field., plant,4.075621,verb
3,The farmer woke up early to plant the beans in the bean-field., the,1.3533356,context
3,The farmer woke up early to plant the beans in the bean-field., beans,5.677454,noun
3,The farmer woke up early to plant the beans in the bean-field., in,3.3409126,context
3,The farmer woke up early to plant the beans in the bean-field., the,0.22653809,context
3,The farmer woke up early to plant the beans in the bean-field., bean,7.2630677,context
3,The farmer woke up early to plant the beans in the bean-field.,-,5.23434,context
3,The farmer woke up early to plant the beans in the bean-field.,field,0.21595898,context
3,The farmer woke up early to plant the beans in the bean-field.,.,0.25163424,context
4,"In this country, the president is the one to call the shots about military operations.",In,6.5052223,context
4,"In this country, the president is the one to call the shots about military operations.", this,3.3058338,context
4,"In this country, the president is the one to call the shots about military operations.", country,3.2929945,context
4,"In this country, the president is the one to call the shots about military operations.",",",0.5515439,context
4,"In this country, the president is the one to call the shots about military operations.", the,2.621845,context
4,"In this country, the president is the one to call the shots about military operations.", president,4.7182393,context
4,"In this country, the president is the one to call the shots about military operations.", is,0.95265657,context
4,"In this country, the president is the one to call the shots about military operations.", the,1.5376377,context
4,"In this country, the president is the one to call the shots about military operations.", one,2.4964669,context
4,"In this country, the president is the one to call the shots about military operations.", to,4.5636983,preverb
