idiom,condition,sentence,head_conventionality_score,nonhead_conventionality_score
"('spill', 'bean')",idiom,Everyone is worried that the politician will spill the beans about the fundraiser.,50.55698,76.43205
"('spill', 'bean')",idiom,"Whenever there is gossip around the office, Lauren is always the first one to spill the beans.",57.99395,76.08218
"('spill', 'bean')",idiom,"When it comes to scandals, the king always likes to spill the beans.",51.129177,67.03616
"('spill', 'bean')",idiom,My friend promised not to spill the beans about the surprise party.,55.41883,76.72986
"('spill', 'bean')",idiom,"My sister usually likes to gossip, but this time she won't spill the beans.",52.659817,71.3166
"('spill', 'bean')",idiom,The spy didn't want to spill the beans about the details of his mission.,57.937855,77.710236
"('spill', 'bean')",idiom,The suspect was interrogated by the police in the hopes that he would spill the beans.,44.461235,68.66868
"('spill', 'bean')",idiom,"To everyone's surprise, the groom managed not to spill the beans during the wedding.",41.321964,70.97145
"('spill', 'bean')",idiom,The journalist hopes that this politician will finally spill the beans.,54.49627,76.940895
"('spill', 'bean')",idiom,The CEO worries that his associates might spill the beans to the investors.,46.55393,75.03124
"('call', 'shot')",idiom,"In this country, the president is the one to call the shots about military operations.",43.394184,47.65266
"('call', 'shot')",idiom,The same people always get to call the shots.,45.42347,49.37053
"('call', 'shot')",idiom,The king seems to be the one who calls the shots.,45.774414,42.85996
"('call', 'shot')",idiom,This actress will finally be able to call the shots about which movies she makes.,40.836185,43.365696
"('call', 'shot')",idiom,I like it when I get to call the shots.,47.96852,50.838993
"('call', 'shot')",idiom,My mom is the one to call the shots around the house.,43.764614,45.670113
"('call', 'shot')",idiom,"I find Sarah rather bossy, she always wants to call the shots.",47.756916,53.323105
"('call', 'shot')",idiom,Firstborn children are prone to call the shots to order around their siblings.,42.322617,38.039276
"('call', 'shot')",idiom,It is pretty uplifting to be in a position to call the shots.,44.738895,39.011223
"('call', 'shot')",idiom,The director is the one who calls the shots on set.,45.180912,39.54874
"('clear', 'air')",idiom, I asked my supervisor to meet so I could clear the air about my recent absences.,40.329933,60.608986
"('clear', 'air')",idiom,"Instead of holding a grudge against your dad, you should call him to clear the air.",42.12634,62.11411
"('clear', 'air')",idiom,The company had to bring in a specialist to help the team clear the air.,33.817642,55.975918
"('clear', 'air')",idiom,My son finally cleared the air about his failing grades last semester.,39.32595,64.2351
"('clear', 'air')",idiom,I wish you had given me the opportunity to clear the air.,37.794643,57.49744
"('clear', 'air')",idiom,We got an opportunity to clear the air in couples therapy.,36.78858,56.043583
"('clear', 'air')",idiom,Timothy called his friend to clear the air.,41.530014,61.01479
"('clear', 'air')",idiom,"They had a huge misunderstanding, but decided to clear the air by discussing things frankly.",42.14146,66.958015
"('clear', 'air')",idiom,It is important to speak to each other to clear the air.,39.03427,46.915024
"('clear', 'air')",idiom,The minister’s speech cleared the air over his party’s stand on the controversial legislation.,38.38891,59.100296
"('have', 'ball')",idiom,I used to hate exercise but now I have a ball at the gym.,32.736416,48.671192
"('have', 'ball')",idiom,"You should come to the carnival, we'll have a ball.",40.428547,61.2672
"('have', 'ball')",idiom,My parents visited Paris last summer and they had a ball.,39.03946,65.333015
"('have', 'ball')",idiom,I don't understand why everybody said I'd have a ball at prom.,38.37843,57.7316
"('have', 'ball')",idiom,The new year's eve party was a success: the guests had a ball.,37.71573,60.763798
"('have', 'ball')",idiom,You're going to have a ball at the wine tasting event.,40.006477,64.95126
"('have', 'ball')",idiom,"Every time we go to the waterpark, the kids have a ball.",33.08048,39.079956
"('have', 'ball')",idiom,The team had a ball at the corporate event.,33.336216,49.917267
"('have', 'ball')",idiom,The birthday party was great; the kids really had a ball.,39.101765,54.603374
"('have', 'ball')",idiom,"We're going to party tonight, since I promised my sister we'd have a ball on her birthday.",38.63219,60.186974
"('get', 'sack')",idiom,She got the sack for always being late.,34.605515,70.78186
"('get', 'sack')",idiom,"If the company doesn't get a better trimester, many employees could get the sack.",32.258293,65.316315
"('get', 'sack')",idiom,"If you can’t do your job properly, you’re going to get the sack.",35.767677,71.84404
"('get', 'sack')",idiom,You can get the sack for your poor performance.,32.326057,69.2392
"('get', 'sack')",idiom,"After 20 years of service, she got the sack.",33.52368,63.43248
"('get', 'sack')",idiom,Sue's dad got the sack for petty thieving.,31.391064,69.34072
"('get', 'sack')",idiom,"After yesterday's fiasco, Martin will probably get the sack.",35.179783,71.83675
"('get', 'sack')",idiom,It's time John finally got the sack for his attitude with the clients.,38.431633,69.89908
"('get', 'sack')",idiom,"My boss warned me that if I don't change my behavior, I will get the sack.",35.374386,72.72769
"('get', 'sack')",idiom,It is almost impossible for an employee to get the sack in France.,32.271095,54.092915
"('bite', 'dust')",idiom,Many young people’s hopes and ambitions bit the dust during the recession.,41.287388,56.6805
"('bite', 'dust')",idiom,The knight swore he would not rest until his enemy bit the dust.,37.887367,48.239357
"('bite', 'dust')",idiom,The soldier was too young to bite the dust.,35.050632,42.900467
"('bite', 'dust')",idiom,His career bit the dust after the incident.,45.252045,60.970936
"('bite', 'dust')",idiom,Uncle Tom only stopped working when he bit the dust.,30.442839,40.166424
"('bite', 'dust')",idiom,"Sadly, it doesn't take long for the latest technological innovations to bite the dust in this field.",38.185776,51.862705
"('bite', 'dust')",idiom,Social media users expressed their discontent at the show creators after their favorite character bit the dust.,33.25928,45.677326
"('bite', 'dust')",idiom,Many soldiers bit the dust in that battle.,33.644066,44.391357
"('bite', 'dust')",idiom,"By then, all of Sarah’s romantic ideas about marriage would bite the dust.",40.513947,60.06046
"('bite', 'dust')",idiom,This politician’s career bit the dust after the big scandal.,40.639378,57.368145
"('break', 'mold')",idiom,"I come from a long line of doctors, but I wanted to break the mold by becoming a singer.",42.411938,42.94784
"('break', 'mold')",idiom,Voters are looking for a candidate who will break the mold.,43.516674,41.55793
"('break', 'mold')",idiom,Their approach to sports teaching broke the mold.,47.896305,47.594997
"('break', 'mold')",idiom,I feel ready to break the mold of what everyone else is doing in this field.,44.057243,42.639027
"('break', 'mold')",idiom,"As the first female president, she will certainly break the mold.",41.66527,44.985928
"('break', 'mold')",idiom,This famous chef’s new restaurant breaks the mold of traditional Mexican cuisine.,49.86682,41.965824
"('break', 'mold')",idiom,Thinking outside the box means you have to be ready to break the mold.,38.882874,39.3435
"('break', 'mold')",idiom,This company hopes to break the mold with their new innovative solution to improve sustainability.,44.102978,45.570324
"('break', 'mold')",idiom,"In her new exhibition, the Canadian artist truly breaks the mold.",49.521935,42.685993
"('break', 'mold')",idiom,"When they first started, they said they were going to break the mold of British politics.",39.78307,42.708115
"('lose', 'ground')",idiom,We cannot waste time while our soldiers lose ground on the battlefield.,37.200005,52.21459
"('lose', 'ground')",idiom,"This trimester, the network has lost ground.",46.12988,54.732246
"('lose', 'ground')",idiom,"We thought Grandma was getting better, but now she's lost ground.",48.04851,59.85097
"('lose', 'ground')",idiom,"If he starts off too fast, the leader will lose ground to the other runners.",36.36576,50.010723
"('lose', 'ground')",idiom,"Ever since the last elections, the government has lost ground to the opposition.",45.40364,57.074566
"('lose', 'ground')",idiom,The party has lost ground in this district.,49.61424,63.86273
"('lose', 'ground')",idiom,Shares of major banks lost ground.,48.99344,54.998074
"('lose', 'ground')",idiom,The concern in 1970 was that women lost ground in educational opportunities.,45.381573,54.003696
"('lose', 'ground')",idiom,The printed media industry has continuously lost ground.,46.225067,61.43235
"('lose', 'ground')",idiom,Soda companies are expected to lose ground among teens.,39.607155,56.2478
"('make', 'wave')",idiom,The mayor's announcement made waves in the neighborhood.,42.039703,60.187813
"('make', 'wave')",idiom,This new band is expected to make waves.,33.646496,58.742805
"('make', 'wave')",idiom,The journalist's new article is certainly gonna make waves.,36.208813,64.55278
"('make', 'wave')",idiom,He has already made waves as a sculptor.,35.390713,57.546417
"('make', 'wave')",idiom,"When I started the job, a friend told me not to make waves.",33.441307,54.503986
"('make', 'wave')",idiom,It is easy to make waves in the music industry.,31.538265,52.603592
"('make', 'wave')",idiom,When you go overseas next semester try not to make waves.,34.86685,53.027676
"('make', 'wave')",idiom,"At my old job, I was constantly told not to make waves at staff meetings.",36.694435,59.937653
"('make', 'wave')",idiom,"In my culture, people are encouraged to conform to social norms and not make waves.",32.22492,50.93139
"('make', 'wave')",idiom,My son is very outspoken and always makes waves at school.,40.30915,56.868668
"('cut', 'corner')",idiom,It is certainly not a sensible move to cut corners with national security.,43.999958,48.728855
"('cut', 'corner')",idiom,People working on site complained about the pressure to cut corners.,35.106697,39.692513
"('cut', 'corner')",idiom,The boss found out that the accounting department had cut corners.,46.331627,55.517918
"('cut', 'corner')",idiom,My mom always told me not to cut corners to save time.,42.86735,36.94679
"('cut', 'corner')",idiom,"To fill out the credit card form this month, I have to cut corners.",42.894604,49.17564
"('cut', 'corner')",idiom,Some people fear that the president might cut corners in the name of efficiency.,42.70927,48.25612
"('cut', 'corner')",idiom,"This is a long and tedious process, so don't be tempted to cut corners.",47.78433,45.903683
"('cut', 'corner')",idiom,This airline was accused of having cut corners on safety.,47.582355,43.114044
"('cut', 'corner')",idiom,This is not the time to cut corners.,40.06565,44.425175
"('cut', 'corner')",idiom,The organization had to cut corners to fit their budget.,39.44566,40.361454
"('raise', 'hell')",idiom,Chester was still in the party and ever ready to raise hell in the house.,37.405853,49.42457
"('raise', 'hell')",idiom,"Following the government's announcement, the protesters flooded the streets and raised hell.",43.819107,53.222546
"('raise', 'hell')",idiom,I knew that captain would raise hell.,40.073685,44.022648
"('raise', 'hell')",idiom,The only way to preserve democracy is to raise hell about its shortcomings.,37.352543,54.134953
"('raise', 'hell')",idiom,"If you wake the baby, Mother will raise hell.",40.218853,46.97988
"('raise', 'hell')",idiom,They raised hell for three weeks.,41.71462,46.870506
"('raise', 'hell')",idiom,"Ironically, the anti-war protesters raised hell.",38.93574,47.348915
"('raise', 'hell')",idiom,"As a teenager, my dad raised hell in the neighborhood.",39.545258,48.046898
"('raise', 'hell')",idiom,"When their hockey team was defeated, my brothers went out and raised hell.",41.60105,45.398148
"('raise', 'hell')",idiom,The police officer was absolutely furious about the situation and raised hell in the office.,45.479446,61.819187
"('pull', 'string')",idiom,I may be able to pull strings for you.,39.955627,51.093605
"('pull', 'string')",idiom,"He has the job not because of talent, but because his dad pulled strings.",45.189598,51.579433
"('pull', 'string')",idiom,The only reason Johnny got into college was because his dad pulled strings.,45.37383,55.838207
"('pull', 'string')",idiom,It turned out his brother was the person who pulled strings behind all of our backs.,40.16679,47.436256
"('pull', 'string')",idiom,It is impossible to get anything done around here if you don't pull strings.,36.30464,53.648342
"('pull', 'string')",idiom,The president pulled strings to get his nephew out of trouble.,44.30466,49.38521
"('pull', 'string')",idiom,He knew he had an obligation to fulfill and needed to pull strings.,37.96519,48.916866
"('pull', 'string')",idiom,The president of the theater had to pull strings to get this performer.,38.297176,45.527657
"('pull', 'string')",idiom,The wealthy and powerful are usually able to pull strings.,38.6479,44.19961
"('pull', 'string')",idiom,The king's advisor is the one who pulls the strings from behind the scenes.,41.683723,46.67143
"('mean', 'business')",idiom,It sounded like Mom means business with her renovation project.,41.73324,35.5158
